BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
C001093,HON. DOUG COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/17/2017,AP,E0492710,BELAIR BRENDAN M.,12/12/2016,12/12/2016,TAXI/PARKING/TOLLS,189.72,2016,BELAIR BRENDAN M.
C001108,HON. JAMES COMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0488127,CITIBANK GOV CARD SERVICE,1/2/2017,1/23/2017,TAXI/PARKING/TOLLS,108.12,2017,CITIBANK GOV CARD SERVICE
C000714,HON. JOHN CONYERS  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0489952,CITIBANK GOV CARD SERVICE,1/3/2017,1/5/2017,TAXI/PARKING/TOLLS,152.99,2017,CITIBANK GOV CARD SERVICE
C000754,HON. JIM COOPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/9/2017,AP,E0486038,HON. JIM COOPER,1/13/2017,1/24/2017,TAXI/PARKING/TOLLS,202,2017,HON. JIM COOPER
C000754,HON. JIM COOPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/15/2017,AP,E0494862,HON. JIM COOPER,2/27/2017,2/27/2017,TAXI/PARKING/TOLLS,114.15,2017,HON. JIM COOPER
C000754,HON. JIM COOPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/27/2017,AP,E0478504,CITIBANK GOV CARD SERVICE,12/5/2016,12/12/2016,TAXI/PARKING/TOLLS,330.5,2016,CITIBANK GOV CARD SERVICE
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499400,HON JAMES COSTA,1/18/2017,1/18/2017,TAXI/PARKING/TOLLS,110,2017,HON JAMES COSTA
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499400,HON JAMES COSTA,1/31/2017,1/31/2017,TAXI/PARKING/TOLLS,111,2017,HON JAMES COSTA
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0473658,CHAHIL GURJINDER S.,12/5/2016,12/8/2016,TAXI/PARKING/TOLLS,139.63,2016,CHAHIL GURJINDER S.
C001106,HON. RYAN A. COSTELLO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0500994,IMPERIAL PARKING LLC,4/1/2017,4/30/2017,TAXI/PARKING/TOLLS,250,2017,IMPERIAL PARKING LLC
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/13/2017,AP,907021,CITIBANK GOV CARD SERVICE,1/4/2017,1/24/2017,TAXI/PARKING/TOLLS,461.45,2017,CITIBANK GOV CARD SERVICE
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,907995,RICHARDS RANDY J.,3/7/2017,3/9/2017,TAXI/PARKING/TOLLS,119.44,2017,RICHARDS RANDY J.
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/7/2017,AP,900769,CITIBANK GOV CARD SERVICE,11/28/2016,12/8/2016,TAXI/PARKING/TOLLS,465.32,2016,CITIBANK GOV CARD SERVICE
C001048,HON. JOHN ABNEY CULBERSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/14/2017,AP,E0492326,CITIBANK GOV CARD SERVICE,12/27/2016,1/25/2017,TAXI/PARKING/TOLLS,360,2017,CITIBANK GOV CARD SERVICE
C001048,HON. JOHN ABNEY CULBERSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0499683,CITIBANK GOV CARD SERVICE,1/27/2017,2/19/2017,TAXI/PARKING/TOLLS,572,2017,CITIBANK GOV CARD SERVICE
C001048,HON. JOHN ABNEY CULBERSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,E0477608,CITIBANK GOV CARD SERVICE,10/27/2016,11/23/2016,TAXI/PARKING/TOLLS,358.04,2016,CITIBANK GOV CARD SERVICE
C001048,HON. JOHN ABNEY CULBERSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0481559,CITIBANK GOV CARD SERVICE,12/1/2016,12/21/2016,TAXI/PARKING/TOLLS,251.82,2016,CITIBANK GOV CARD SERVICE
D000096,HON. DANNY K. DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/5/2017,AP,897021,CITIBANK GOV CARD SERVICE,10/30/2016,10/30/2016,TAXI/PARKING/TOLLS,105.1,2016,CITIBANK GOV CARD SERVICE
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0488069,ABM PARKING SERVICES- STL AIRPORT,1/1/2017,1/31/2017,TAXI/PARKING/TOLLS,250,2017,ABM PARKING SERVICES- STL AIRPORT
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0474176,ABM PARKING SERVICES- STL AIRPORT,11/1/2016,11/30/2016,TAXI/PARKING/TOLLS,250,2016,ABM PARKING SERVICES- STL AIRPORT
D000619,HON. RODNEY DAVIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/30/2017,AP,E0479755,ABM PARKING SERVICES- STL AIRPORT,12/1/2016,12/31/2016,TAXI/PARKING/TOLLS,250,2016,ABM PARKING SERVICES- STL AIRPORT
D000191,HON. PETER A. DEFAZIO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0492757,HON. PETER DEFAZIO,2/6/2017,2/22/2017,TAXI/PARKING/TOLLS,150,2017,HON. PETER DEFAZIO
D000197,HON. DIANA DEGETTE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/22/2017,AP,E0490682,CITIBANK GOV CARD SERVICE,1/2/2017,1/2/2017,TAXI/PARKING/TOLLS,120,2017,CITIBANK GOV CARD SERVICE
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/14/2017,AP,E0474225,SCHMIDT AARON,10/4/2016,12/18/2016,TAXI/PARKING/TOLLS,336.17,2016,SCHMIDT AARON
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/19/2017,AP,E0476804,MARQUARDT KELLY M,12/2/2016,12/21/2016,TAXI/PARKING/TOLLS,111.81,2016,MARQUARDT KELLY M
D000604,HON. CHARLES W. DENT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/8/2017,AP,E0494402,SIEGFRIED CHAUFFEUR SERVICES INC,2/18/2017,2/18/2017,TAXI/PARKING/TOLLS,153.6,2017,SIEGFRIED CHAUFFEUR SERVICES INC
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/17/2017,AP,E0489867,CITIBANK GOV CARD SERVICE,1/14/2017,1/14/2017,TAXI/PARKING/TOLLS,110,2017,CITIBANK GOV CARD SERVICE
D000621,HON. RON DESANTIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0499697,CITIBANK GOV CARD SERVICE,2/4/2017,2/4/2017,TAXI/PARKING/TOLLS,104,2017,CITIBANK GOV CARD SERVICE
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0501808,CITIBANK GOV CARD SERVICE,2/3/2017,2/17/2017,TAXI/PARKING/TOLLS,195.28,2017,CITIBANK GOV CARD SERVICE
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,E0487230,WILLIAMS-BARR YVETTE L.,12/3/2016,12/11/2016,TAXI/PARKING/TOLLS,102.33,2016,WILLIAMS-BARR YVETTE L.
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/2/2017,AP,E0483079,MOON REBECCA A,1/19/2017,1/22/2017,TAXI/PARKING/TOLLS,274,2017,MOON REBECCA A
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0484991,POND SHIRLEY,1/19/2017,1/22/2017,TAXI/PARKING/TOLLS,259,2017,POND SHIRLEY
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0487300,DOUGAN-ROCHA ALEXIS,1/24/2017,1/26/2017,TAXI/PARKING/TOLLS,109.2,2017,DOUGAN-ROCHA ALEXIS
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0493294,DOUGAN-ROCHA ALEXIS,1/23/2017,1/27/2017,TAXI/PARKING/TOLLS,109.2,2017,DOUGAN-ROCHA ALEXIS
D000625,HON. DANIEL M. DONOVAN  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485165,VELLA-MARRONE FRANCES T.,1/7/2017,1/27/2017,TAXI/PARKING/TOLLS,101.51,2017,VELLA-MARRONE FRANCES T.
D000625,HON. DANIEL M. DONOVAN  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485166,PRYCE SONIA L.,1/10/2017,1/31/2017,TAXI/PARKING/TOLLS,155.34,2017,PRYCE SONIA L.
D000625,HON. DANIEL M. DONOVAN  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,E0477305,BERITAN JORGE L.,9/16/2016,10/15/2016,TAXI/PARKING/TOLLS,157.32,2016,BERITAN JORGE L.
D000625,HON. DANIEL M. DONOVAN  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480360,BERITAN JORGE L.,10/17/2016,11/14/2016,TAXI/PARKING/TOLLS,171.81,2016,BERITAN JORGE L.
E000294,HON. TOM EMMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0491267,CITIBANK GOV CARD SERVICE,9/26/2016,10/23/2016,TAXI/PARKING/TOLLS,203.75,2016,CITIBANK GOV CARD SERVICE
E000294,HON. TOM EMMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0492404,CITIBANK GOV CARD SERVICE,12/1/2016,12/16/2016,TAXI/PARKING/TOLLS,302.17,2016,CITIBANK GOV CARD SERVICE
E000296,HON. DWIGHT EVANS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,E0489385,TURNER KIMBERLY J.,1/6/2017,2/2/2017,TAXI/PARKING/TOLLS,108.67,2017,TURNER KIMBERLY J.
E000296,HON. DWIGHT EVANS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/23/2017,AP,E0489388,HON DWIGHT EVANS,1/30/2017,2/2/2017,TAXI/PARKING/TOLLS,109,2017,HON DWIGHT EVANS
F000030,HON. SAM FARR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476524,CITIBANK GOV CARD SERVICE,11/14/2016,11/14/2016,TAXI/PARKING/TOLLS,250,2016,CITIBANK GOV CARD SERVICE
F000030,HON. SAM FARR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0493999,CITIBANK GOV CARD SERVICE,12/17/2016,12/17/2016,TAXI/PARKING/TOLLS,250,2016,CITIBANK GOV CARD SERVICE
F000451,HON. MICHAEL G. FITZPATRICK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/17/2017,AP,E0478729,MULHOLLAND STACEY L.,11/29/2016,12/10/2016,TAXI/PARKING/TOLLS,264,2016,MULHOLLAND STACEY L.
F000461,HON. BILL FLORES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/21/2017,AP,E0489280,CITIBANK GOV CARD SERVICE,1/22/2017,1/24/2017,TAXI/PARKING/TOLLS,201.5,2017,CITIBANK GOV CARD SERVICE
F000461,HON. BILL FLORES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/15/2017,AP,E0495827,HIXSON JANA L.,2/10/2017,2/13/2017,TAXI/PARKING/TOLLS,123.27,2017,HIXSON JANA L.
F000461,HON. BILL FLORES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0497391,HIXSON JANA L.,7/10/2016,7/13/2016,TAXI/PARKING/TOLLS,104.72,2016,HIXSON JANA L.
F000462,HON. LOIS FRANKEL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0485445,GOLDSTEIN FELICIA R,1/19/2017,1/21/2017,TAXI/PARKING/TOLLS,109.13,2017,GOLDSTEIN FELICIA R
F000448,HON. TRENT FRANKS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0488859,CITIBANK GOV CARD SERVICE,1/18/2017,1/21/2017,TAXI/PARKING/TOLLS,121.08,2017,CITIBANK GOV CARD SERVICE
F000455,HON. MARCIA FUDGE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/26/2017,AP,901082,BROWN ARIELLA J,11/28/2016,12/9/2016,TAXI/PARKING/TOLLS,122.17,2016,BROWN ARIELLA J
G000571,HON. TULSI GABBARD,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/11/2017,AP,E0476537,MORGAN JAMIE R.,11/7/2016,11/18/2016,TAXI/PARKING/TOLLS,164.14,2016,MORGAN JAMIE R.
G000579,HON. MIKE GALLAGHER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/3/2017,AP,E0489967,DANIELS MCKAY L.,2/11/2017,2/11/2017,TAXI/PARKING/TOLLS,132,2017,DANIELS MCKAY L.
G000548,HON. SCOTT GARRETT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/3/2017,AP,E0473726,HON. SCOTT GARRETT,11/13/2016,12/10/2016,TAXI/PARKING/TOLLS,271.7,2016,HON. SCOTT GARRETT
G000548,HON. SCOTT GARRETT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/6/2017,AP,E0475525,HON. SCOTT GARRETT,12/26/2016,12/28/2016,TAXI/PARKING/TOLLS,414.95,2016,HON. SCOTT GARRETT
G000563,HON. BOB GIBBS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/4/2017,AP,E0470417,KIKO JENNIFER M.,12/6/2016,12/7/2016,TAXI/PARKING/TOLLS,124.68,2016,KIKO JENNIFER M.
G000582,HON. JENNIFFER GONZALEZ-COLON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,E0483767,TOSSAS-CORDERO NYDIA M.,1/18/2017,1/21/2017,TAXI/PARKING/TOLLS,104.48,2017,TOSSAS-CORDERO NYDIA M.
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/10/2017,AP,E0486097,FOTI LESLIE H.,1/18/2017,1/24/2017,TAXI/PARKING/TOLLS,440.77,2017,FOTI LESLIE H.
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0488368,CITIBANK GOV CARD SERVICE,1/18/2017,1/23/2017,TAXI/PARKING/TOLLS,150.11,2017,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/1/2017,AP,E0492930,CITIBANK GOV CARD SERVICE,12/28/2016,1/27/2017,TAXI/PARKING/TOLLS,480.46,2017,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0492994,VAN FLEIN THOMAS V.,1/3/2017,1/13/2017,TAXI/PARKING/TOLLS,124.51,2017,VAN FLEIN THOMAS V.
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/23/2017,AP,E0500533,CITIBANK GOV CARD SERVICE,1/29/2017,2/27/2017,TAXI/PARKING/TOLLS,491.06,2017,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0499271,CITIBANK GOV CARD SERVICE,1/26/2017,2/28/2017,TAXI/PARKING/TOLLS,121.48,2017,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480306,CITIBANK GOV CARD SERVICE,11/28/2016,12/15/2016,TAXI/PARKING/TOLLS,462.6,2016,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480606,CITIBANK GOV CARD SERVICE,12/1/2016,12/27/2016,TAXI/PARKING/TOLLS,110.54,2016,CITIBANK GOV CARD SERVICE
G000565,HON. PAUL A. GOSAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/3/2017,AP,898493,CITIBANK GOV CARD SERVICE,11/29/2016,12/10/2016,TAXI/PARKING/TOLLS,294.83,2016,CITIBANK GOV CARD SERVICE
G000583,HON. JOSH S. GOTTHEIMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/4/2017,AP,E0492984,MILLER MELISSA A.,2/18/2017,2/19/2017,TAXI/PARKING/TOLLS,198.87,2017,MILLER MELISSA A.
G000377,HON. KAY GRANGER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0484761,STANLEY NICHOLAS A.,1/18/2017,1/23/2017,TAXI/PARKING/TOLLS,146.16,2017,STANLEY NICHOLAS A.
G000577,HON. GARRET GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0490290,SAWYER PAUL B.,1/2/2017,1/31/2017,TAXI/PARKING/TOLLS,173.47,2017,SAWYER PAUL B.
G000560,HON. TOM GRAVES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/9/2017,AP,E0493248,DONNELLY JOHN P,2/16/2017,2/24/2017,TAXI/PARKING/TOLLS,115.85,2017,DONNELLY JOHN P
G000553,HON. AL GREEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/3/2017,AP,E0491914,CITIBANK GOV CARD SERVICE,12/29/2016,1/28/2017,TAXI/PARKING/TOLLS,167.01,2017,CITIBANK GOV CARD SERVICE
G000553,HON. AL GREEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/9/2017,AP,E0475095,WEBSTER CRYSTAL R.,11/11/2016,11/29/2016,TAXI/PARKING/TOLLS,108.66,2016,WEBSTER CRYSTAL R.
G000553,HON. AL GREEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/25/2017,AP,E0480737,WEBSTER CRYSTAL R.,12/1/2016,12/24/2016,TAXI/PARKING/TOLLS,114.32,2016,WEBSTER CRYSTAL R.
G000551,HON. RAUL M. GRIJALVA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0486175,CITIBANK GOV CARD SERVICE,11/28/2016,12/27/2016,TAXI/PARKING/TOLLS,123.07,2016,CITIBANK GOV CARD SERVICE
G000576,HON. GLENN GROTHMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/7/2017,AP,E0492769,HON GLENN GROTHMAN,1/7/2017,1/14/2017,TAXI/PARKING/TOLLS,138,2017,HON GLENN GROTHMAN
G000576,HON. GLENN GROTHMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0499071,HON GLENN GROTHMAN,1/21/2017,1/27/2017,TAXI/PARKING/TOLLS,116,2017,HON GLENN GROTHMAN
G000576,HON. GLENN GROTHMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/31/2017,AP,E0499071,HON GLENN GROTHMAN,2/3/2017,2/10/2017,TAXI/PARKING/TOLLS,122,2017,HON GLENN GROTHMAN
G000576,HON. GLENN GROTHMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/6/2017,AP,E0482373,HON GLENN GROTHMAN,11/13/2016,12/10/2016,TAXI/PARKING/TOLLS,182,2016,HON GLENN GROTHMAN
H001050,HON. COLLEEN W. HANABUSA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/6/2017,AP,E0492766,FORMBY MICHAEL D.,2/15/2017,2/25/2017,TAXI/PARKING/TOLLS,109.3,2017,FORMBY MICHAEL D.
H001050,HON. COLLEEN W. HANABUSA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/27/2017,AP,E0499150,MICHAELS JOSHUA J.,3/3/2017,3/10/2017,TAXI/PARKING/TOLLS,160.51,2017,MICHAELS JOSHUA J.
H001051,HON. RICHARD L. HANNA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/8/2017,AP,E0474793,STOKES JUSTIN,10/4/2016,10/14/2016,TAXI/PARKING/TOLLS,166.25,2016,STOKES JUSTIN
H001045,HON. GREGG HARPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,E0487336,DOMINY JANET H.,1/18/2017,1/23/2017,TAXI/PARKING/TOLLS,174.68,2017,DOMINY JANET H.
H001045,HON. GREGG HARPER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/24/2017,AP,E0488258,JORDAN KYLE,1/17/2017,1/22/2017,TAXI/PARKING/TOLLS,121.66,2017,JORDAN KYLE
H001052,HON. ANDY HARRIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/8/2017,AP,897028,DUMA HEATHER MOLNAR,10/4/2016,12/30/2016,TAXI/PARKING/TOLLS,105,2016,DUMA HEATHER MOLNAR
H000324,HON. ALCEE L. HASTINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0498708,CITIBANK GOV CARD SERVICE,1/30/2017,2/17/2017,TAXI/PARKING/TOLLS,155,2017,CITIBANK GOV CARD SERVICE
H000324,HON. ALCEE L. HASTINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,E0478302,MORRISON LALE M.,12/20/2016,12/21/2016,TAXI/PARKING/TOLLS,238.79,2016,MORRISON LALE M.
H000324,HON. ALCEE L. HASTINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/27/2017,AP,E0491892,CITIBANK GOV CARD SERVICE,12/9/2016,12/17/2016,TAXI/PARKING/TOLLS,337,2016,CITIBANK GOV CARD SERVICE
H000324,HON. ALCEE L. HASTINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,E0491852,CITIBANK GOV CARD SERVICE,11/1/2016,12/24/2016,TAXI/PARKING/TOLLS,183.57,2016,CITIBANK GOV CARD SERVICE
H001064,HON. DENNY HECK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/24/2017,AP,E0497307,BURGESS JAMI,3/5/2017,3/5/2017,TAXI/PARKING/TOLLS,103.98,2017,BURGESS JAMI
H001064,HON. DENNY HECK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/28/2017,AP,E0497682,SIDDIQUI FAISAL,6/22/2016,6/26/2016,TAXI/PARKING/TOLLS,117,2016,SIDDIQUI FAISAL
H001056,HON. JAIME HERRERA BEUTLER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/8/2017,AP,E0482517,BOWMAN CASEY,1/9/2017,1/13/2017,TAXI/PARKING/TOLLS,137.23,2017,BOWMAN CASEY
H001056,HON. JAIME HERRERA BEUTLER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/21/2017,AP,E0495429,TRUAX PARKER A.,2/9/2017,2/12/2017,TAXI/PARKING/TOLLS,103.26,2017,TRUAX PARKER A.
H001072,HON. J. FRENCH HILL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/30/2017,AP,E0500338,CITIBANK GOV CARD SERVICE,2/3/2017,2/23/2017,TAXI/PARKING/TOLLS,106.57,2017,CITIBANK GOV CARD SERVICE
H001072,HON. J. FRENCH HILL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/1/2017,AP,E0483136,CITIBANK GOV CARD SERVICE,12/9/2016,12/14/2016,TAXI/PARKING/TOLLS,123.9,2016,CITIBANK GOV CARD SERVICE
H001047,HON. JAMES A. HIMES,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/10/2017,AP,E0494506,ROBINSON BLAKE A,1/31/2017,2/3/2017,TAXI/PARKING/TOLLS,123.93,2017,ROBINSON BLAKE A
H001065,HON. GEORGE HOLDING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,896480,CITIBANK GOV CARD SERVICE,10/29/2016,11/10/2016,TAXI/PARKING/TOLLS,126.24,2016,CITIBANK GOV CARD SERVICE
H001065,HON. GEORGE HOLDING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/12/2017,AP,896483,CITIBANK GOV CARD SERVICE,11/2/2016,11/21/2016,TAXI/PARKING/TOLLS,130.28,2016,CITIBANK GOV CARD SERVICE
H001065,HON. GEORGE HOLDING,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/15/2017,AP,901331,CITIBANK GOV CARD SERVICE,12/10/2016,12/25/2016,TAXI/PARKING/TOLLS,175.84,2016,CITIBANK GOV CARD SERVICE
H001034,HON. MICHAEL M. HONDA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1/9/2017,AP,E0475255,CITIBANK GOV CARD SERVICE,11/29/2016,12/16/2016,TAXI/PARKING/TOLLS,249.36,2016,CITIBANK GOV CARD SERVICE
H001067,HON. RICHARD HUDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/28/2017,AP,906781,CITIBANK GOV CARD SERVICE,1/20/2017,1/20/2017,TAXI/PARKING/TOLLS,378,2017,CITIBANK GOV CARD SERVICE
H001067,HON. RICHARD HUDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3/8/2017,AP,902679,CONSTANGY III HERBERT W.,1/18/2017,1/31/2017,TAXI/PARKING/TOLLS,131.66,2017,CONSTANGY III HERBERT W.
H001067,HON. RICHARD HUDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2/16/2017,AP,901348,CITIBANK GOV CARD SERVICE,12/3/2016,12/16/2016,TAXI/PARKING/TOLLS,102,2016,CITIBANK GOV CARD SERVICE
